"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-01-14 08:45:00+00",154133,19,104,123,41833,2092121.72
"2018-01-14 08:44:00+00",153794,20,118,123,41824,2091177.72
"2018-01-14 08:43:00+00",154819,26,87,89,41817,2090692.72
"2018-01-14 08:42:00+00",155306,22,73,59,41814,2090627.72
"2018-01-14 08:41:00+00",155156,15,133,130,41814,2090627.72
"2018-01-14 08:40:00+00",154817,17,66,62,41810,2090382.72
"2018-01-14 08:39:00+00",155620,20,65,66,41804,2089982.72
"2018-01-14 08:38:00+00",155627,21,158,215,41799,2089727.72
"2018-01-14 08:37:00+00",155627,20,70,37,41794,2089372.72
"2018-01-14 08:36:00+00",155671,18,50,29,41788,2089092.72
"2018-01-14 08:35:00+00",156237,27,34,27,41784,2088002.72
"2018-01-14 08:34:00+00",156237,18,55,50,41776,2087327.72
"2018-01-14 08:33:00+00",155826,23,61,48,41772,2087242.72
"2018-01-14 08:32:00+00",155473,26,99,95,41765,2087042.72
"2018-01-14 08:31:00+00",155473,15,72,141,41759,2086617.72
"2018-01-14 08:30:00+00",155771,27,79,73,41752,2086407.72
"2018-01-14 08:29:00+00",156066,17,61,66,41745,2086337.72
"2018-01-14 08:28:00+00",155604,12,88,73,41738,2086212.72
"2018-01-14 08:27:00+00",155884,20,141,127,41720,2085904.35
"2018-01-14 08:26:00+00",155884,19,71,63,41695,2085579.35
"2018-01-14 08:25:00+00",155673,19,78,42,41677,2085229.35
"2018-01-14 08:24:00+00",155698,13,64,51,41668,2084984.35
"2018-01-14 08:23:00+00",155698,23,142,131,41661,2084769.35
"2018-01-14 08:22:00+00",155845,26,78,41,41661,2084769.35
"2018-01-14 08:21:00+00",156157,19,84,87,41656,2084484.35
"2018-01-14 08:20:00+00",156157,14,135,100,41647,2084089.35
"2018-01-14 08:19:00+00",156229,24,80,69,41637,2083684.35
"2018-01-14 08:18:00+00",156673,18,109,131,41631,2083179.35
"2018-01-14 08:17:00+00",156673,20,54,53,41622,2082875.33
"2018-01-14 08:16:00+00",156498,21,52,113,41600,2080980.33
"2018-01-14 08:15:00+00",157516,21,49,63,41587,2080170.33
"2018-01-14 08:14:00+00",157571,22,133,148,41575,2079810.33
"2018-01-14 08:13:00+00",157571,25,109,138,41562,2079060.33
"2018-01-14 08:12:00+00",158475,17,120,91,41551,2078615.33
"2018-01-14 08:11:00+00",158918,24,83,119,41544,2078346.62
"2018-01-14 08:10:00+00",158918,13,69,88,41530,2077679.96
"2018-01-14 08:09:00+00",153917,15,50,89,41523,2077369.96
"2018-01-14 08:08:00+00",153917,15,82,54,41513,2076959.96
"2018-01-14 08:07:00+00",153908,18,40,38,41506,2076719.96
"2018-01-14 08:06:00+00",154303,22,101,162,41499,2076544.96
"2018-01-14 08:05:00+00",154673,21,65,108,41490,2076084.96
"2018-01-14 08:04:00+00",155365,21,68,70,41478,2075529.96
"2018-01-14 08:03:00+00",156828,19,80,79,41466,2074419.96
"2018-01-14 08:02:00+00",156828,23,75,97,41449,2072403.85
"2018-01-14 08:01:00+00",156122,30,70,67,41447,2072358.85
"2018-01-14 08:00:00+00",156017,20,100,66,41444,2072258.85
"2018-01-14 07:59:00+00",157085,16,67,70,41444,2072258.85
"2018-01-14 07:58:00+00",156698,15,150,188,41441,2071878.85
"2018-01-14 07:57:00+00",156757,19,39,35,41437,2071673.85
"2018-01-14 07:56:00+00",156757,19,212,186,41436,2071573.85
"2018-01-14 07:55:00+00",156410,23,55,29,41431,2071423.85
"2018-01-14 07:54:00+00",156788,16,55,36,41426,2071238.85
"2018-01-14 07:53:00+00",156404,23,46,31,41423,2071163.85
"2018-01-14 07:52:00+00",156447,19,41,35,41419,2071048.85
"2018-01-14 07:51:00+00",156447,20,33,36,41410,2070248.85
"2018-01-14 07:50:00+00",156487,26,63,46,41401,2069878.85
"2018-01-14 07:49:00+00",156868,21,92,33,41395,2069723.85
"2018-01-14 07:48:00+00",157145,18,61,37,41387,2069373.85
"2018-01-14 07:47:00+00",157823,26,74,65,41379,2068738.85
"2018-01-14 07:46:00+00",159034,30,197,210,41370,2067318.85
"2018-01-14 07:45:00+00",159512,14,54,51,41362,2067053.85
"2018-01-14 07:44:00+00",159658,18,53,39,41355,2066681.85
"2018-01-14 07:43:00+00",159658,17,148,163,41351,2066066.85
"2018-01-14 07:42:00+00",158941,15,98,103,41348,2065991.85
"2018-01-14 07:41:00+00",158941,21,69,64,41342,2064675.96
"2018-01-14 07:40:00+00",158800,14,115,116,41340,2064565.96
"2018-01-14 07:39:00+00",158800,28,159,83,41335,2064160.96
"2018-01-14 07:38:00+00",158631,25,104,57,41335,2064160.96
"2018-01-14 07:37:00+00",159350,18,114,37,41330,2064055.96
"2018-01-14 07:36:00+00",160713,17,49,27,41323,2063810.96
"2018-01-14 07:35:00+00",160496,27,67,37,41316,2063620.96
"2018-01-14 07:34:00+00",160496,11,77,48,41312,2063555.96
"2018-01-14 07:33:00+00",160519,14,120,129,41301,2063040.96
"2018-01-14 07:32:00+00",160697,22,227,234,41297,2062440.96
"2018-01-14 07:31:00+00",161389,13,243,271,41291,2060185.96
"2018-01-14 07:30:00+00",161389,23,62,70,41285,2059360.96
"2018-01-14 07:29:00+00",161295,17,128,189,41274,2058994.96
"2018-01-14 07:28:00+00",161295,28,72,56,41265,2058719.96
"2018-01-14 07:27:00+00",160570,28,90,95,41255,2058434.96
"2018-01-14 07:26:00+00",161046,31,92,142,41243,2057989.96
"2018-01-14 07:25:00+00",161260,39,177,203,41233,2057408.96
"2018-01-14 07:24:00+00",162780,31,164,212,41224,2057093.94
"2018-01-14 07:23:00+00",163371,35,73,54,41221,2056928.94
"2018-01-14 07:22:00+00",163137,32,80,89,41219,2056878.94
"2018-01-14 07:21:00+00",163192,26,205,212,41215,2056478.94
"2018-01-14 07:20:00+00",162934,29,166,220,41207,2055668.94
"2018-01-14 07:19:00+00",163257,21,108,125,41197,2054579.78
"2018-01-14 07:18:00+00",163257,17,67,47,41192,2054360.46
"2018-01-14 07:17:00+00",164197,25,69,78,41184,2051544.79
"2018-01-14 07:16:00+00",164197,14,67,62,41181,2051424.79
"2018-01-14 07:15:00+00",164014,22,62,84,41179,2051340.79
"2018-01-14 07:14:00+00",165315,17,74,53,41179,2051340.79
"2018-01-14 07:13:00+00",165315,15,62,45,41173,2051005.79
"2018-01-14 07:12:00+00",166066,27,50,32,41169,2050765.79
"2018-01-14 07:11:00+00",165719,25,79,60,41163,2050580.79
"2018-01-14 07:10:00+00",166175,27,57,31,41159,2050470.79
"2018-01-14 07:09:00+00",166545,36,98,152,41155,2050125.79
"2018-01-14 07:08:00+00",165887,41,58,31,41149,2049500.79
"2018-01-14 07:07:00+00",166030,47,73,49,41145,2049380.79
"2018-01-14 07:06:00+00",166171,40,150,131,41137,2049070.79
"2018-01-14 07:05:00+00",166509,22,75,32,41130,2048675.79
"2018-01-14 07:04:00+00",166616,23,138,137,41126,2048200.79
"2018-01-14 07:03:00+00",167221,17,67,39,41121,2047835.79
"2018-01-14 07:02:00+00",167221,30,62,29,41112,2047440.79
"2018-01-14 07:01:00+00",167497,20,66,37,41107,2047060.79
"2018-01-14 07:00:00+00",168997,21,122,87,41097,2046240.79
"2018-01-14 06:59:00+00",168866,14,92,118,41094,2045930.79
"2018-01-14 06:58:00+00",169284,36,91,132,41090,2045800.79
"2018-01-14 06:57:00+00",169251,36,107,125,41082,2045540.79
"2018-01-14 06:56:00+00",169251,18,66,60,41074,2034127.92
"2018-01-14 06:55:00+00",169014,16,56,38,41064,2033687.92
"2018-01-14 06:54:00+00",168798,24,191,223,41053,2032932.92
"2018-01-14 06:53:00+00",169106,23,73,38,41045,2032302.92
"2018-01-14 06:52:00+00",169334,22,114,74,41027,2031417.23
"2018-01-14 06:51:00+00",171385,31,113,160,41016,2029660.23
"2018-01-14 06:50:00+00",171443,34,104,80,41007,2028875.23
"2018-01-14 06:49:00+00",171443,29,199,247,40990,2028078.54
"2018-01-14 06:48:00+00",171417,38,105,82,40983,2022878.54
"2018-01-14 06:47:00+00",172058,22,100,85,40976,2022363.54
"2018-01-14 06:46:00+00",171473,25,117,147,40957,2021438.54
"2018-01-14 06:45:00+00",172809,27,82,87,40945,2021058.54
"2018-01-14 06:44:00+00",172809,37,333,393,40932,2020458.54
"2018-01-14 06:43:00+00",174262,22,108,122,40916,2019558.54
"2018-01-14 06:42:00+00",173851,28,57,54,40907,2019237.74
"2018-01-14 06:41:00+00",174253,36,116,128,40900,2018347.74
"2018-01-14 06:40:00+00",174253,34,223,255,40896,2018132.74
"2018-01-14 06:39:00+00",174253,26,69,50,40890,2017852.74
"2018-01-14 06:38:00+00",174357,40,106,87,40883,2017499.04
"2018-01-14 06:37:00+00",173850,48,189,233,40874,2017089.04
"2018-01-14 06:36:00+00",174259,51,90,49,40866,2016748.28
"2018-01-14 06:35:00+00",174259,41,83,88,40866,2016748.28
"2018-01-14 06:34:00+00",175795,65,98,80,40855,2015893.28
"2018-01-14 06:33:00+00",176348,53,97,60,40847,2015593.28
"2018-01-14 06:32:00+00",177683,57,82,45,40837,2012893.28
"2018-01-14 06:31:00+00",177683,53,187,127,40823,2011213.28
"2018-01-14 06:30:00+00",177794,55,71,66,40809,2010268.28
"2018-01-14 06:29:00+00",178421,74,81,59,40795,2007863.28
"2018-01-14 06:28:00+00",178421,76,143,172,40776,2006407.28
"2018-01-14 06:27:00+00",181413,73,272,219,40765,2005452.28
"2018-01-14 06:26:00+00",179586,66,244,152,40753,2004764.78
"2018-01-14 06:25:00+00",179586,120,99,82,40729,2003734.78
"2018-01-14 06:24:00+00",178425,278,200,374,40706,2002549.78
"2018-01-14 06:23:00+00",177875,293,686,1950,40673,2001109.78
"2018-01-14 06:22:00+00",177944,23,296,262,40638,1998799.78
"2018-01-14 06:21:00+00",177944,19,239,211,40619,1998139.78
"2018-01-14 06:20:00+00",177432,36,158,153,40574,1996171.78
"2018-01-14 06:19:00+00",177432,47,200,142,40556,1995081.78
"2018-01-14 06:18:00+00",177610,31,243,198,40525,1991795.78
"2018-01-14 06:17:00+00",177274,27,125,142,40492,1989659.78
"2018-01-14 06:16:00+00",177274,30,126,117,40446,1986059.01
"2018-01-14 06:15:00+00",176707,31,90,81,40418,1984232.8
"2018-01-14 06:14:00+00",175405,32,99,95,40365,1979702.8
"2018-01-14 06:13:00+00",175089,38,197,181,40341,1978717.8
"2018-01-14 06:12:00+00",174903,31,103,114,40322,1978047.8
"2018-01-14 06:11:00+00",175020,34,92,102,40275,1974641.51
"2018-01-14 06:10:00+00",175020,42,132,132,40223,1971954.51
"2018-01-14 06:09:00+00",174937,33,105,123,40182,1969739.51
"2018-01-14 06:08:00+00",175294,28,94,95,40149,1966424.51
"2018-01-14 06:07:00+00",175294,40,69,49,40111,1963986.85
"2018-01-14 06:06:00+00",174581,38,73,53,40070,1958401.85
"2018-01-14 06:05:00+00",174617,38,85,51,40069,1958376.85
"2018-01-14 06:04:00+00",174694,32,91,68,39993,1948161.85
"2018-01-14 06:03:00+00",173991,37,101,76,39993,1948161.85
"2018-01-14 06:02:00+00",173406,29,93,91,39960,1945858.85
